address,url,price,sq_ft,latitude,longitude,geocode_status,geocode_source
"1965 Peck Street, Muskegon, MI",https://www.420property.com/listing/turnkey-muskegon-dispensary-for-sale-lease/,"$649,000",,43.216725309946,-86.244678593355,success,arcgis
"19169 U.S. 12, New Buffalo, MI",https://www.420property.com/listing/new-buffalo-municipal-state-approved-turnkey-provisioning-center/,"$2,500,000",,41.772447578503,-86.783117301195,success,arcgis
"3135 South 11th Street, Niles, MI",https://www.420property.com/michigan/niles-real-estate/,Inquire for Price,,41.761927996651,-86.250418185373,success,arcgis
"155 Holbrook Avenue, Niles (Township), MI",https://www.michigancannabisproperties.com/buy,"$375,000",,43.836233769206,-84.758282978961,success,arcgis
"Confidential Location, Ottawa County, MI",https://www.420property.com/michigan/,"$2,250,000",,42.948572495169,-86.421943976465,success,arcgis
"935 West M-36, Pinckney, MI",https://cannabisrealestateconsultants.com/listing/5224/,"$2,950,000",,42.458834924017,-83.95731664447,success,arcgis
"8991 Hudson Road, Pittsford, MI",https://www.420property.com/listing/turnkey-pittsford-dispensary-ohio-indiana-border-for-sale/,"$499,000",,41.860857588174,-84.477258000745,success,arcgis
"22 North Saginaw Street, Pontiac, MI",https://www.420property.com/listing/downtown-pontiac-single-tenant-mixed-use-building/,"$450,000",,42.637426877691,-83.291717843754,success,arcgis
"7812 Portage Road, Portage, MI",https://www.420property.com/listing/portage-freestanding-cannabis-retail-office-building/,"$299,999",,42.203503629287,-85.560314471629,success,arcgis
"25001 Eight Mile West, Redford, MI",https://cannamls.com/properties/catalog/michigan/dispensary/,"$1,495,000",,42.442278318313,-83.288167353388,success,arcgis
"24525 Plymouth Road, Redford Township, MI",https://www.420property.com/michigan/redford-township-real-estate/,"$1,800,000",,42.370797322304,-83.280650294982,success,arcgis
"29765 Groesbeck Highway, Roseville, MI",https://www.420property.com/listing/roseville-municipal-approved-adult-use-provisioning-center/,"$1,900,000",,42.513873936848,-82.954766844844,success,arcgis
"27877 Groesbeck Highway, Roseville, MI",https://www.420property.com/listing/roseville-dispensary-and-real-estate/,"$2,100,000",,42.499604375334,-82.965880242626,success,arcgis
"12519 M-140, South Haven, MI",https://www.420property.com/listing/south-haven-municipal-approved-turnkey-adult-use-provisioning-center/,"$999,999",,42.372401995758,-86.268043986646,success,arcgis
"8201 Inkster Road, Taylor, MI",https://www.420property.com/listing/taylor-municipal-approved-adult-use-provisioning-center/,"$999,999",,42.246707352924,-83.307830711504,success,arcgis
"Confidential, Warren, MI",https://cannamls.com/properties/catalog/michigan/dispensary/,"$795,000",,42.49044,-83.01304,success,arcgis
"815 North Huron Street, Ypsilanti, MI",https://www.420property.com/listing/operating-and-profitable-ypsilanti-dispensary-for-sale/,"$1,695,000",,42.253462999246,-83.620667980807,success,arcgis
"513 West Cross Street, Ypsilanti, MI",https://www.420property.com/listing/cross-street-shop-operating-adult-use-provisioning-center/,"$299,999",,42.245574999715,-83.61969207582,success,arcgis
